lat,lon,pop
26.5964,104.8314,1221000
26.5849,101.7149,1214121
3.2167,-51.2167,1209091
55.15,61.4,1203230
-4.05,39.6667,1202371
41.823,-71.4187,1201158
25.3189,83.0128,1200000
34.64,50.8764,1199515
38.9355,100.4553,1198491
34.4,132.45,1198021
11.8333,13.15,1197497
-25.9153,32.5764,1193605
25.3,51.5333,1191613
-32.9575,-60.6394,1186700
14.75,-17.4,1186023
27.795,114.9242,1184788
31.3203,48.6692,1181496
30.3322,-81.6749,1180770
24.4667,39.6,1180570
34.0911,74.8061,1178391
54.9667,73.3833,1176239
42.8976,125.1381,1175000
-7.7167,109.017,1174964
28.2333,117.0,1170791
-5.4294,105.2625,1169719
53.1833,50.1167,1168056
28.2363,113.6984,1166761
35.55,129.3167,1166033
38.5158,114.9845,1165182
-22.9009,-47.0573,1164098
27.6961,111.6659,1162928
14.7319,-17.4572,1162770
29.8239,112.9019,1160242
36.0656,113.8153,1160000
19.7475,96.115,1156663
-1.9536,30.0606,1151554
26.4179,112.8457,1148126
47.7235,128.8893,1147188
6.3176,5.6145,1146053
52.48,-1.9025,1140100
30.3833,113.4,1137100
31.6269,74.877,1135512
-12.0611,-77.1333,1132383
25.6667,-100.3,1131896
27.88,78.08,1131160
34.1511,113.4733,1129854
19.41,-99.03,1127000
32.8752,13.1875,1126534
38.7689,125.4505,1126000
47.2333,39.7167,1125299
14.0942,-87.2067,1118035
41.7225,44.7925,1116267
26.1722,91.7458,1115560
54.7261,55.9475,1112072
34.0433,-5.0033,1109363
10.9508,106.8221,1104000
12.11,15.05,1099931
7.5304,5.76,1098526
40.7777,-111.9306,1097000
21.2186,81.4314,1095947
22.5736,88.3251,1095808
9.4075,-0.8533,1092700
39.737,98.5049,1092692
55.6805,12.5615,1092066
19.4,-98.9889,1085000
30.652,113.8274,1083865
43.5036,124.8088,1083498
56.0089,92.8719,1082929
50.9422,6.9578,1081960
31.3697,119.8239,1081903
36.0,119.4167,1078362
-22.8269,-43.0539,1077687
36.1715,-86.7843,1077208
40.1814,44.5144,1077169
51.1333,71.4333,1077075
18.0858,-15.9785,1075800
-26.6736,27.9319,1075798
37.5295,-77.4756,1074000
-2.53,-44.3028,1073921
23.3556,85.3347,1073893
15.5,-88.0333,1073824
32.1724,120.0142,1073440
26.215,78.1931,1069276
35.1046,-89.9773,1066967
37.6564,126.835,1062643
16.5167,80.6167,1061929
53.5344,-113.4903,1060000
42.8667,74.5667,1060000
35.99,119.3801,1059700
36.8008,10.18,1059092
27.6609,113.4946,1058665
30.3972,114.8842,1058070
10.0678,-69.3467,1056247
38.2683,140.8694,1053900
47.3139,130.2775,1049792
27.7167,85.3667,1048240
32.6633,-115.4678,1048005
51.6717,39.2106,1047549
58.0139,56.2489,1046054
35.2281,128.6811,1046000
37.5139,105.1884,1039205
36.8833,118.7333,1038738
-6.5917,106.8,1036412
35.8325,-78.6435,1033918
10.4236,-75.5253,1032197
30.7353,76.7911,1032000
-25.9667,32.4667,1030720
26.2944,73.0278,1030200
8.1333,4.25,1029808
42.3,69.6,1028808
13.5086,2.1111,1028673
28.6583,121.4221,1026848
